サウナ,電話番号
ウェルビー栄,+81 52-262-1126
SaunaLab Nagoya,+81 52-238-2131
サウナイーグル,+81 56-682-2814
KIWAMISAUNA,""
キャナル・リゾート,+81 52-661-9876
ウェルビー今池,+81 52-731-2561
リラクゼーションスパ アペゼ,+81 52-733-3141
サウナ＆カプセル フジ,+81 52-962-5711
サウナピア,+81 120-88-1937
天空SPA HILLS 竜泉寺の湯 名古屋守山本店,+81 52-793-2601
天然温泉アーバンクア SPA & LIVING,+81 52-324-0261
SENSE sauna,+81 52-433-6113
春日井温泉,+81 56-882-5722
湯のや 天然温泉 湯吉郎,+81 52-401-4126
きの助（KINOSUKE）,+81 56-968-2448
ぽかぽか温泉 新守山乃湯,+81 52-792-2226
白山温泉（名古屋市）,+81 52-531-4753
長喜温泉,+81 52-912-1013
湯〜とぴあ宝,+81 52-611-1126
