サウナ,電話番号
スパメッツァおおたか 竜泉寺の湯,+81 47-178-3726
スパ＆ホテル 舞浜ユーラシア,+81 47-351-4126
南柏天然温泉 すみれ,+81 47-197-5226
ジートピア,+81 47-422-4141
SeaSaunaShack,""
サウナ＆カプセルホテルレインボー本八幡店,+81 47-379-7201
JFA夢フィールド 幕張温泉 湯楽の里,+81 43-205-4126
天然温泉 湯〜ねる,+81 47-409-3726
野天風呂 湯の郷,+81 47-121-4126
クアパレス,+81 47-466-3313
佐倉天然温泉 澄流（すみれ）,+81 43-497-2625
八街ヴィラ,""
楽天地天然温泉 法典の湯,+81 47-338-4126
おふろcafé かりんの湯,+81 47-875-1726
船橋グランドサウナ＆カプセルホテル,+81 47-422-2266
Spa Resort 菜々の湯,+81 47-470-4126
ビバークランド,+81 43-287-3636
サウナきさらづ つぼや,+81 43-836-7970
のだ温泉 ほのか,+81 47-123-4126
edén,+81 47-064-6377
成田空港温泉 空の湯,+81 47-978-2615
サウナ・カプセルイン クレスト松戸,+81 47-367-2681
薬湯市原店,+81 43-642-1126
蘭々の湯,+81 43-206-1126
Re:PRIVATE SAUNA,""
東京湯楽城,+81 47-691-6866
ゆうみ Sauna Cafe,+81 47-055-1333
スーパー銭湯 青の洞窟,+81 56-356-0933
船橋温泉 湯楽の里,+81 47-495-2626
湯の郷ほのか 蘇我店,+81 43-265-1726
天然温泉 湯舞音 袖ケ浦店,+81 43-838-6168
成田の命泉 大和の湯,+81 47-628-8111
笑がおの湯 松戸矢切店,+81 47-312-4126
サウナイン中山店,""
龍泉の湯,+81 47-628-4126
湯楽の里 松戸店,+81 47-303-4126
君津の湯,+81 43-957-2641
Futtu villa,+81 36-279-2070
天然温泉 満天の湯,+81 47-191-4126
カプセルホテルふらる,+81 43-304-6258
酒々井温泉 湯楽の里,+81 43-312-0026
ととのい整作所,+81 47-712-8111
湯乃市 鎌ヶ谷店,+81 47-441-1126
Ranta,""
TAKIVILLAGE LEPO,""
極楽湯 千葉稲毛店,+81 43-207-2641
極楽湯 柏店,+81 47-137-4126
健美の湯,+81 47-172-4126
湯戯三昧・マツドヘルスランド,+81 47-366-2467
小谷流温泉 森の湯,+81 43-312-7726
農園リゾート THE FARM,+81 47-879-0666
アクア・ユーカリ,+81 43-488-1001
市原温泉 湯楽の里,+81 43-640-4126
龍宮城スパホテル三日月,+81 43-841-8111
雫花,""
崋（はな）の湯,+81 47-628-2444 
クリーンスパ市川,+81 47-329-6711
BOTANICAL POOL CLUB,+81 47-029-3425
湯パーク南柏,+81 47-144-3510
天然温泉 湯舞音 市原ちはら台店,+81 43-663-3273
南総城山温泉 里見の湯,+81 47-025-1126
古民家宿るうふ 清之家,+81 55-288-9016
アパホテル&リゾート 東京ベイ幕張,+81 57-007-0111
馬橋湯,+81 47-341-3247
CAMPiece横芝光 学校サウナ,""
天然温泉 海辺の湯,+81 43-969-8500
むつざわ温泉 つどいの湯,+81 47-536-7400
ARCH KISARAZU,+81 43-927-1105
スパ＆リゾート九十九里 太陽の里,+81 47-532-5550
SANSUI SAUNA,""
森と空と家,+81 36-417-1088
柳湯,+81 47-378-4657
かずさのお風呂屋さん,+81 43-897-2683
江戸川湯,+81 47-152-4719
and RIVER 勝浦,""
みきの湯,+81 47-554-5526
シーサイド太東海岸 BBQ Village,""
ふなばしメグスパ,+81 47-457-5151
Camp & Sauna UUSi Kamogawa,""
sauna en,""
amane,+81 47-055-1000
天然温泉旭の湯,+81 47-962-1126
PGFLAND,""
ホテルパーマン,+81 43-216-3500
銭湯ゆープラザ,+81 47-332-8088
シェラトン・グランデ・トーキョーベイ・ホテル,+81 47-355-5555
寛容宿所 松竹梅,""
ベッセルイン千葉駅前,+81 43-306-1181
紀伊乃国屋,+81 47-055-1571
℃HILL VALLEY 養老渓谷,+81 50-3479-7120
鴨川グランドホテル,+81 47-092-2111
小金バスランド,+81 47-341-1126
GIFTHOUSE 館山 伊戸,+81 50-8886-0515
Yamasobu campground,+81 439-29-6663
TOKYO CLASSIC CAMP,+81 43-488-6211
THE SECOND Kujukuri Beach House,""
カプセルホテル ザ・イン,+81 43-246-8555
VILLA Asile（アジル）,""
朝日湯,+81 47-322-1024
平和湯ランド,+81 47-387-2044
