サウナ,電話番号
ウェルビー 福岡,+81 92-291-1009
筑紫野 天拝の郷,+81 92-918-5111
IZBA,+81 94-062-1330
ホテルキャビナス福岡,+81 92-436-8880
SaunaLab Fukuoka,""
ヒナタの杜 小戸の湯どころ,+81 92-688-9269
久留米 游心の湯,+81 94-222-6026
みなと温泉 波葉の湯,+81 92-271-4126
博多・由布院・武雄温泉 万葉の湯,+81 92-452-4126
新宮温泉 ふくの湯,+81 92-410-4126
天然温泉コロナの湯 小倉店,+81 93-581-5686
小倉サウナ TOTONOI,+81 93-512-7820
SAUNA OOO FUKUOKA,+81 92-292-7715
SHIAGARU SAUNA 福岡 天神,""
筑紫の湯,+81 92-919-8426
HIDEAWAY sunset camp,+81 92-326-5211
伊都の湯どころ,+81 92-331-1000
照葉スパリゾート 本店,+81 92-683-1010
畑冷泉館,+81 97-982-0976
博多天然温泉 八百治の湯,+81 92-413-8881
宗像王丸・天然温泉 やまつばさ,+81 940-37-4126
脈 -MYAKU PRIVATE SAUNA-,+81 50-3101-9683
for sauner,''
サウナヨーガン福岡天神,''
カンデオホテルズ福岡天神,+81 92-738-5600
グランピング五感,+81 92-555-6553
本城天然温泉おとぎの杜,+81 93-692-4126
The Riverside Sauna（福岡）,+81 70-9071-9628
源泉野天風呂 那珂川清滝,+81 92-952-8848
源じいの森温泉,+81 947-62-2851
BASE Private sauna福岡薬院店,+81 92-791-1210
グリーンランド 中洲店,+81 92-291-9000
チャウナ（八女市）,''
ヘルスイン長尾湯,+81 92-862-5689
筑紫野温泉 アマンディ,+81 92-926-2655
鶴亀湯（博多区）,+81 92-291-5195
