サウナ,電話番号
LAKE SIDE HOTELみなとや,+81 242-65-2111
サウナ発達,+81 244-26-5160
ひばり温泉,+81 248-63-1112
Sauna & Spa Green,+81 248-94-8626
郡山湯処 まねきの湯,+81 24-941-4126
SAUNA F-tuuli,+81 24-572-3588
OUSE Camp&Sauna TUULI,+81 8060078101
北投の湯 いわき健康センター,+81 246-63-4126
エンゼルフォレスト白河高原,+81 570-012-334
Roots猪苗代,+81 120-01-9555
森の駅yodge,+81 247-57-7440
日帰り温泉 富士の湯,+81 242-32-1126
こおりやま駅前サウナ24,+81 24-932-0344
スパホテルあぶくま,+81 248-25-1126
つるしの湯,+81 244-26-6888
陽日の郷 あづま館,+81 243-24-2211
バイパスサウナ,+81 243-23-0578
極楽湯 福島郡山店,+81 24-934-4126
磐梯の湯 ドーミーインEXPRESS郡山,+81 24-935-5489
private sauna さはこ前,''
御とめ湯り,+81 24-563-7373
ゆとりろ磐梯熱海,+81 570-012-531
勿来温泉 関の湯,+81 246-65-1126
カプセルホテル サウナ&大浴場 リフレ いわき駅前店,+81 246-23-1126
ロータスイン,+81 241-45-2900
いいざか 花ももの湯,+81 24-542-0087
会津・東山温泉 御宿東鳳,+81 242-26-4141
スパリゾートハワイアンズ,+81 570-550-550
なりた温泉,+81 24-947-2626
月光温泉クアハイム,+81 24-947-1126
太平洋健康センター いわき蟹洗温泉,+81 246-32-2500
そうま温泉 天宝の湯,81 244-32-0261
割烹温泉 観音湯,+81 248-42-2418
湖畔のホテルクオレ,+81 241-32-3536
新鶴温泉 んだ,+81 242-78-2820
スーパー銭湯 遊・湯ランド,+81 24-922-1600
いこいの村なみえ,+81 240-34-6161
郡山ユラックス熱海,+81 24-984-2800
摺上亭 大鳥,+81 24-542-4184
スカイピアあだたら,+81 243-24-3101
きつねうち温泉,+81 248-34-1126
サウナ小屋 goemon,+81 90-4346-0965
天神岬温泉 しおかぜ荘,+81 240-25-5726
あだたら温泉 ホテルパラダイスヒルズ,+81 243-24-2234
LOG（大玉村）,+81 243-24-6687
エンゼルフォレスト白河高原,+81 248-85-2525
ヘルシーランド福島,+81 24-536-5600
小名浜オーシャンホテル＆ゴルフクラブ,+81 246-56-3311
鹿狼の湯,+81 244-63-2617
泉崎カントリーヴィレッジ,+81 248-53-4211
福うさぎ（福島市）,+81 24-595-2611
ホテルフロンティアいわき,+81 246-25-1117
母畑温泉 八幡屋,+81 247-26-3131
道の駅 喜多の郷 蔵の湯,+81 241-21-1526
並木温泉 ゆの郷,+81 24-991-1126
バーデン温泉,+81 24-947-1233
道の駅 ならは,+81 240-26-1126
芦ノ牧プリンスホテル,+81 242-92-2321
磐梯名湯リゾート ボナリの森,+81 242-64-3333
ビジネスホテル高見,+81 244-24-5668
三春の里 田園生活館,+81 247-62-8010
ホテルグローバルビュー郡山,+81 24-932-3232
新田川温泉はらまちユッサ,+81 244-26-0026
あゆり温泉,+81 248-42-2615
四季の宿 天瑞,+81 247-61-7110
大江戸温泉物語 あいづ,+81 570-011-260
五右衛門オートキャンプ場,+81 90-2996-3340
ふれあいランド高郷,+81 241-44-2888
会津芦ノ牧温泉 大川荘,+81 242-92-2111
裏磐梯グランデコ東急ホテル,+81 241-32-3200
ほっと大熊,+81 240-23-5767
グランパークホテルエクセル福島恵比寿,+81 24-533-4166
ホテルプルミエール箕輪,+81 242-64-3300
あだたら高原いっぷく,+81 80-6006-8011
羽鳥湖温泉 彩光の湯,+81 248-85-2525
湯の田温泉 村民保養施設「さぎり荘｣,+81 247-49-2205
湯遊ランドはなわ,+81 247-43-3000
ホテル華の湯,+81 24-984-2222
郡山温泉,+81 24-951-1231
かわうちの湯,+81 240-39-0103
エンゼルフォレスト那須白河,+81 248-85-2525
東舘温泉 ユーパル矢祭,+81 247-46-4300
大江戸温泉物語 東山グランドホテル,+81 570-011-267
道の駅 山口温泉 きらら289,+81 241-71-1289
熱塩温泉 山形屋,+81 241-36-2288
おとぎの宿米屋,+81 248-62-7200
グランドエクシブ那須白河,+81 248-25-8111
メルキュール裏磐梯リゾート&スパ,+81 241-32-3111
郡山やすらぎ温泉,+81 24-953-2611
中島村総合福祉センターふれあいの郷,+81 248-52-3400
HOTELLI aalto,+81 241-23-5100
ホテル シーアンドアイ郡山,+81 24-927-1119
ふくしま県民の森フォレストパークあだたら,+81 243-48-2040
野地温泉ホテル,+81 242-64-3031
ルネサンス棚倉リゾートスポーツプラザ,+81 247-33-4111
五峰荘,+81 248-36-2222
水織音の宿 山水荘,+81 24-595-2141
