サウナ,電話番号
吹上温泉保養センター 白銀荘,0167-45-3251
ニコーリフレ,011-261-0108
森のスパリゾート 北海道ホテル,0155-21-0001
北こぶし知床 ホテル＆リゾート,0152-24-2021
OMO7旭川,0166-24-2111
GARDENS CABIN,011-522-8585
月見湯,011-855-1815
ログホテル メープルロッジ,0126-46-2222
定山渓 鹿の湯,011-598-2311
洞爺湖万世閣 ホテルレイクサイドテラス,0570-08-3500
登別温泉 登別グランドホテル,0143-84-2101
プレミアホテル キャビン札幌,011-213-1301
ニュー阿寒ホテル,0154-67-2121
すすきの天然温泉 湯香郷,011-513-8107
サウナコタンサッポロ,011-857-2626
小金湯温泉 湯元 小金湯,011-596-2111
Kushiro Marshland Hostel THE GEEK,015-487-2100
おふろcafé 星遊館,0124-23-1155
あしべ屯田,	011-771-9111
ひまわり温泉（帯広市）,0155-48-4238
定山渓万世閣ホテルミリオーネ,0570-08-3500
新千歳空港温泉,0123-46-4126
ザ・センチュリオンサウナ レスト＆ステイ札幌,011-206-9932
天然温泉 大喜湯 昭和店,0154-55-5558
ETANBETSU MARGINAL SAUNA,''
ニュー銀座サウナ,080-2144-3337
湯処花ゆづき,011-633-4126]
湖畔の宿支笏湖 丸駒温泉旅館,0123-25-2341
SPA＆SAUNA オスパー,0166-25-3200
岬の湯しゃこたん,0135-48-5355
tower eleven onsen & sauna,050-3171-7525
KIKI知床 ナチュラルリゾート,0152-24-2104
スカイリゾートスパ「プラウブラン」,011-251-6366
湯けむりの丘 つきさむ温泉,011-855-4126
シャトレーゼ ガトーキングダム札幌,011-773-3311
湯の郷 絢ほのか,011-881-2686
キトウシの森きとろん,0166-82-7010
苗穂駅前温泉 蔵ノ湯,011-200-3800
HOTEL POTMUM STAY&COFFEE,011-826-4500
湯屋・サーモン,	011-669-1004
