サウナ,電話番号
金城温泉元湯,+81 76-268-2601
源泉掛け流し しあわせの湯,+81 76-248-1126
松の湯（金沢市）,+81 76-231-5611
香林居,+81 76-209-7766
テルメ金沢,+81 76-269-2211
天然温泉 加賀の宝泉 御宿 野乃 金沢,+81 76-223-5489
LINNAS Kanazawa,""
金沢ゆめのゆ,+81 76-204-2626
SAUNA HAKUSAN,+81 76-273-4646
満天の湯 金沢店,+81 76-244-4126
吉田屋山王閣,+81 76-177-1001
天然温泉 加賀の湧泉 ドーミーイン金沢,+81 76-263-9888
有松温泉 れもん湯,+81 76-243-0626
露天風呂・大浴殿 アパスパ金沢駅前,+81 76-231-8111
和おんの湯,+81 76-251-8889
満天の湯 白山インター店,+81 76-216-0100
一里野高原ホテル ろあん,+81 76-256-7141
sauna LOHAS ,""
ほっとらんどNANAO,+81 76-757-3988
浅の川温泉 湯楽,+81 76-235-1126
和倉温泉総湯,+81 76-762-2221
天然温泉 アパスパ金沢中央,+81 76-235-2121
ROKU private sauna,+81 76-221-0069
湯快リゾートプレミアム よしのや依緑園,+81 570-550-078
白峰温泉 総湯,+81 76-259-2839
伝泊 小松,+81 80-2144-3122
湯来楽 内灘店,+81 76-287-2611
松任海浜温泉 おつかりさま,+81 76-274-5520
森の栖 リゾート&スパ,+81 761-77-0150
珠洲温泉 のとじ荘,+81 768-84-1621
極楽湯 金沢野々市店,+81 76-294-2641
大桑おんま温泉 楽ちんの湯,+81 76-245-1126
金沢湯涌温泉 あたらしや くろサウナ,""
千代野温泉,+81 76-275-2619
pocapoca 御経塚の湯,+81 120-98-1126
双葉湯（金沢市）,+81 76-261-2711
FILL&,+81 76-259-6555
比咩の湯,+81 76-256-7770
一 能登島,+81 767-85-2150
プライベートサウナ部 ととのう,+81 76-200-8709
