ホテルニューニシノ,+81 99-224-3232
天然温泉 ぬくもりの湯,+81 996-79-3726
花野温泉 たぬき湯,+81 99-229-2607
Sankara Hotel & Spa 屋久島,+81 99-747-3488
プライベートサウナ moimoi,""
鹿児島温泉 時之栖,+81 99-256-1126
sumu sauna,""
薩摩黒温泉 山華,+81 99-295-3406
薬師温泉（鹿児島市）,+81 
エクセルサウナタイセイ,+81 99-257-1114
芦刈温泉,+81 99-229-0800
一本桜温泉センター,+81 99-250-2615
日当山温泉 花の湯,+81 99-544-7234
古民家村家族湯 天空,+81 99-547-7171
冠岳温泉,+81 99-621-2626
天然温泉 霧桜の湯 ドーミーイン鹿児島,+81 99-216-5489
指宿こころの湯,+81 99-324-1126
ゆかいだ温泉 つれづれの湯,+81 99-274-5905
硫黄谷温泉 霧島ホテル,+81 99-578-2121
PRIVATE SAUNA BAYBERRY,""
砂むし会館砂楽,+81 99-323-3900
城山ホテル鹿児島,+81 99-224-2211
かいせい乃湯,+81 99-813-8260
さかいだ温泉,+81 99-577-2426
湯どころ あったろう,+81 99-274-1173
まごし温泉,+81 99-526-5001
翠嵐 -suiran- 貸切温泉サウナ郷,+81 99-638-0018
せせらぎの湯 花水木,+81 99-273-1718
鏡石湯,+81 99-356-5104
みどり温泉,+81 99-243-5600
スパランド 裸・楽・良,+81 99-245-7070
桜島マグマ温泉 レインボー桜島,+81 99-293-2323
SPA HOTEL YUTTARIKAN,+81 99-642-2244
船津温泉,+81 99-565-7777
リブマックスリゾート 桜島シーフロント,+81 99-432-9195
霧島温泉,+81 99-222-4311
数寄の宿 野鶴亭,+81 99-542-6400
姶良市温泉センター くすの湯,+81 99-552-9976
フォンタナの丘かもう,+81 99-552-1218
かごっま温泉,+81 99-226-2688
鳥遊ぶ森の宿 ふたり静,+81 99-578-3161
新とそ温泉,+81 99-255-4826
竹迫温泉,+81 99-255-1954
かごしま空港ホテル,+81 99-558-2331
温泉錦湯,+81 99-254-3377
市来ふれあい温泉センター,+81 99-621-5022
吉野温泉,+81 99-244-2610
AMA TERRACE,+81 99-763-8160
Fukiagehama Field Hotel,+81 99-636-2511
サウナ24宝乃湯,+81 99-555-6161
いきいきセンター くりの郷,+81 99-574-1811
温泉お乃湯,+81 99-229-5835
福助温泉,+81 99-229-4620
慈眼寺温泉,+81 99-260-1010
道の駅 たるみず 湯っ足り館,+81 99-434-2237
霧島国際ホテル,+81 99-578-2621
ひかりの郷,+81 99-679-3401
谷山温泉えびす湯,+81 99-204-4888
ゆたか温泉,+81 99-441-7128
針持温泉 つるつる美肌の湯,+81 99-525-2033
重富温泉,+81 99-566-2683
美肌の湯 こしかの温泉,+81 99-543-4046
国分温泉,+81 99-546-1874
ゆごや物語,+81 99-542-3406
国民宿舎 ボルベリアダグリ,+81 99-472-1478
ホテル京セラ,+81 99-543-7111
安楽温泉 笑がおの湯,+81 99-473-3468
新川温泉,+81 99-255-4032
天然掛け流し温泉 加治木温泉,+81 99-563-2626
ホテル大藏,""
wellbe club,+81 99-565-2020
中山温泉,+81 99-260-1126
志布志湾 大黒リゾートホテル,+81 99-473-0001
サウナかめつ,+81 99-781-1212
渓谷苑,+81 99-295-2044
隈之城温泉,+81 99-622-7355
与論島B&G海洋センター艇庫,+81 997-97-5033
ラビスタ霧島ヒルズ,+81 99-564-4321
ふくずみの湯,+81 99-296-2005
くしき野白浜温泉 みすまるの湯,+81 99-635-0031
温泉平佐城,+81 99-622-6731
めいわ温泉,+81 99-283-2010
龍門滝温泉,+81 99-562-2488
紫尾湯の宿 くすのき荘,+81 99-659-8841
縄文の宿まんてん,+81 99-743-5751
グリーンランド市比野ふれあい館,+81 99-638-0170
ホテル太平温泉,+81 99-444-3300
Sauna&Stay,+81 99-772-4720
心の湯（霧島市）,+81 99-546-3939
霧島温泉ソサエティ,+81 99-578-2525
郡元温泉,+81 99-255-9357
財部温泉健康センター,+81 98-672-3553
妙見石原荘,+81 99-577-2111
春日温泉（鹿児島市）,+81 99-254-0255
