サウナ,電話番号
スカイスパYOKOHAMA,+81 45-461-1126
朝日湯源泉ゆいる,+81 44-333-4126
大磯プリンスホテル THERMAL SPA S.WAVE,+81 46-361-1111
天然温泉 満天の湯,+81 45-370-4126
湯の泉 東名厚木健康センター,+81 46-227-4126
綱島源泉 湯けむりの庄,+81 45-545-4126
ファンタジーサウナ＆スパおふろの国,+81 45-585-4126
ハレタビ SAUNA & INN YOKOHAMA,+81 45-306-7102
ヨコヤマ・ユーランド鶴見,+81 45-585-1126
宮前平源泉 湯けむりの庄,+81 44-860-2641
横浜天然温泉 横濱スパヒルズ 竜泉寺の湯,+81 45-459-5268
KAMAKURA HOTEL,+81 46-755-5380
8HOTEL CHIGASAKI,+81 46-755-5175
横浜天然温泉 SPA EAS,+81 45-290-2080
OYUGIWA海老名,+81 46-259-7083
RAKU SPA 鶴見,+81 45-574-4126
箱根湯寮,+81 46-085-8411
福美湯,+81 45-401-0678
亀遊舘,+81 45-701-9358
横浜みなとみらい 万葉倶楽部,+81 570-074-126
溝口温泉 喜楽里,+81 44-741-4126
Sauna kota LEPO,""
小松湯,+81 44-233-3371
レックスイン川崎,+81 44-211-2220
カプセルプラス横浜,+81 45-594-9211
縄文天然温泉 志楽の湯,+81 44-533-8888
港北天然温泉ゆったりCOco,+81 45-595-0260
反町浴場 SPA反町,+81 45-321-2816
8HOTEL 湘南藤沢,+81 46-654-0880
ZEN VAGUE,+81 46-781-4405
アーバンスパ,+81 46-222-8879
今井湯,+81 44-722-5136
天然温泉スパ・リブールヨコハマ,+81 45-575-7573
湯花楽 秦野店,+81 46-384-4126
カプセル＆サウナ 川崎ビッグ,+81 44-246-0008
千年温泉,+81 44-766-6240
ヨコヤマユーランド緑,+81 45-929-1126
徳の湯,+81 45-481-5654
平和湯,+81 44-333-8936
レンブラントスタイル横浜関内,+81 45-681-4800
センター南温泉 湯もみの里,+81 45-942-2611
湘南RESORT SPA 竜泉寺の湯,+81 46-757-2641
モダン湯治 おんりーゆー,+81 46-572-1126
湘南台温泉 らく,+81 46-643-1126
橘湯,+81 44-411-8010
3S HOTEL HIRATSUKA,+81 46-320-2233
稲村ヶ崎温泉,+81 46-722-7199
天然温泉 小田原コロナの湯,+81 46-545-5660
おふろの王様 高座渋谷駅前店,+81 46-201-0126
野天湯元 湯快爽快 たや,+81 45-854-2641
横須賀温泉 湯楽の里,+81 46-845-1726
ROKU SAUNA たまプラーザ店,""
DAICHI silent river,""
のぼり雲,+81 46-851-2617
みうら湯,+81 45-710-1126
サウナゆげ蔵,+81 45-642-6766
ひばり湯,+81 46-746-5324
鷲の湯,+81 45-421-2323
NARAYA CAFE（NARAYA+）,+81 46-082-1259
港北の湯,+81 45-470-0026
湯あそびひろば 葛の湯,+81 45-805-1010
湯乃市 柄沢店,+81 46-626-2614
天山湯治郷 ひがな湯治 天山,+81 46-086-4126
さがみ湖温泉 うるり,+81 42-685-2641
バーデンプレイス,+81 44-866-8576
山賊サウナ,+81 46-543-6338
PROSTYLE貸切サウナ横浜馬車道,+81 45-662-2222
天然温泉すすき野 湯けむりの里,+81 45-905-2641
エノシマサウナ,""
INSPA横浜,+81 45-451-4301
いやさか湯,+81 45-583-5161
野天湯元 湯快爽快 ちがさき,+81 46-782-4126
おふろの王様 町田店,+81 42-767-2603
ひとりサウナ ロウリューランド川崎,+81 44-201-4438
極楽湯 横浜芹が谷店,+81 45-820-4126
恵びす温泉,+81 45-641-3426
ホテル梶ヶ谷プラザ,+81 44-861-2111
湘南天然温泉湯乃蔵ガーデン,+81 46-332-1126
天成園,+81 46-083-8500
横浜天然温泉くさつ,+81 45-712-2617
おふろの王様 港南台店,+81 45-830-2603
名水はだの富士見の湯,+81 46-382-1026
旭湯,+81 45-563-1049
江の島ホテル 江の島アイランドスパ,+81 46-629-0688
野天湯元 湯快爽快 ざま,+81 46-254-1126
SAIL HUS,+81 46-854-9850
はだの・湯河原温泉 万葉の湯,+81 46-385-4126
小田原お堀端 万葉の湯,+81 46-523-1126
おふろの王様 海老名店,+81 46-236-0268
ヘルスよしの,+81 44-966-1035
富士見湯,+81 46-623-4656
日吉湯,+81 45-561-5315
サウナスポット エビナ,""
扇浜の湯 ドーミーイン川崎,+81 44-230-5489
ランドマークスパ（横浜ロイヤルパークホテル）,+81 45-221-1001
RAKKO PARK,+81 46-227-4126
おふろの王様 瀬谷店,+81 45-924-1126
ONEPERSON登戸,""
喜楽里 別邸 横浜青葉店,+81 45-961-2626
相模・下九沢温泉 湯楽の里,+81 42-764-2626
中島館,+81 45-731-5309
ねぎしの湯 大盛舘,+81 45-751-4204
矢向湯,+81 45-581-1153
多賀良湯,+81 44-556-0683
宿河原浴場,+81 44-911-3872
surfers,+81 46-870-3307
箱根 絶景日帰り温泉 龍宮殿本館,+81 46-083-1126
かまぶろ温泉,+81 44-211-2626
利世館,+81 45-251-1017
清川村ふれあいセンター 別所の湯,+81 46-288-3900
ウエインズパーク 海老名 U-BASE CAMP BATH & SAUNA,+81 46-235-6204
遊湯記念湯,+81 45-322-6244
越の湯,+81 44-511-5959
朝日湯,+81 45-501-5863
