サウナ,電話番号
サウナの梅湯,""
白山湯 高辻店,+81 75-351-3648
サウナ＆カプセルホテル ルーマプラザ,+81 75-525-0993
五香湯,+81 75-841-7321
ぎょうざ湯,+81 75-533-4126
SPA&HOTEL水春 松井山手,+81 77-462-1126
船岡温泉,+81 75-441-3735
ぬかとゆげ,+81 77-266-3988
山城温泉,+81 75-461-1345
白山湯 六条店,+81 75-351-2733
MACHIYA:SAUNA KYOTO,""
森のサウナ Replus,""
スッカマ 源氏の湯,+81 77-493-4126
さがの温泉 天山の湯,+81 75-882-4126
むらさき湯,+81 75-431-6558
sayoka,""
京都玉の湯,+81 75-231-2985
蒸 -五箇サウナ-,""
宇治天然温泉 源氏の湯,+81 77-441-2615
壬生温泉 はなの湯,+81 75-813-2611
SASAUNA Sakura Sauna & Spa Kyoto,""
moksa,+81 75-744-1001
銀座湯,+81 75-771-0620
TANAKA.SAUNA,""
ぎょうざ湯2,+81 75-223-0141
旭湯（南区）,+81 75-691-5374
ドーミーインPREMIUM京都駅前 花蛍の湯,+81 75-371-5489
竹取温泉 灯りの湯,+81 75-971-4126
松葉湯,+81 75-841-4696
湯の宿 松栄,+81 75-351-4084
ベッセルホテルカンパーナ京都五条,+81 75-353-1000
伏見力の湯,+81 75-645-4126
玉光湯 ひじりのね 伏見店,+81 75-925-1126
鴨川湯,""
Living sauna by MONday,+81 75-353-1922
上方温泉一休京都本館,+81 77-454-1419
sayu kamogawa,""
名倉湯,+81 75-316-0093
天然温泉 蓮花の湯 御宿 野乃 京都七条,+81 75-365-5489
京都桂温泉 仁左衛門の湯,+81 75-393-4500
大黒湯,+81 75-561-7551
衣笠温泉,+81 75-462-1225
風風の湯,+81 75-863-1126
6ishiki,+81 77-155-9285
福知山温泉 養老の湯,+81 77-327-6000
軍人湯,+81 75-641-6028
京都るり渓温泉,+81 77-165-5001
京都 竹の郷温泉 万葉の湯,+81 75-332-4126
平安湯,+81 75-771-1146
門前温泉,+81 75-492-2314
Private City Sauna RE:ZONE,""
初音湯,+81 75-231-2648
宝湯,""
金閣寺湯,+81 75-462-2683
やしろ湯,+81 75-861-1734
トロン温泉 稲荷湯,+81 75-841-6653
東山湯温泉,+81 75-781-4472
紫野温泉,+81 75-493-3334
京丹波サウナ,""
加茂湯,+81 75-492-4561
天然温泉 天翔の湯,+81 75-316-2641
船戸湯,+81 75-661-5420
鞍馬湯,+81 75-611-1393
洛陽湯,+81 75-682-0039
FIRST THE SAUNA（ファースト ザ サウナ）,""
大正湯,+81 75-313-2343
梅小路銭湯 ぽて湯,+81 75-284-1100
京都市立改進浴場,""
栄盛湯,+81 75-781-0744
小町湯 京都銭湯,+81 75-313-2889
京都山科 ホテル山楽,+81 75-502-1111
ホテルロイヤルヒル福知山＆スパ,+81 77-327-5000
大正湯,+81 75-671-6953
sequence KYOTO GOJO,+81 75-353-0031
ホテルモントレ京都 スパ トリニテ,+81 75-212-3980
新シ湯（あたらしゆ）,+81 75-561-4210
長者湯,+81 75-441-1223
旭湯（東山区）,+81 75-561-6436
京乃湯,+81 75-366-3926
梅湯（城陽市）,+81 774-52-2650
桜湯（京都市）,+81 75-231-0491
ホテル エルシエント 京都八条口,+81 75-672-1100
井筒湯,+81 75-231-6273
京極湯,+81 75-313-7601
御三軒湯,+81 75-431-1028
明田湯,+81 75-691-6298
金山湯,+81 75-311-9544
安心お宿 京都四条烏丸店,""
山ノ内湯,+81 75-311-5910
THE THOUSAND KYOTO,+81 75-354-1000
笠の湯,+81 75-821-1003
寿湯（伏見区）,+81 75-611-1514
旭湯（右京区）,+81 75-311-4833
大徳寺温泉,+81 75-491-6770
電気温泉 弥生湯,+81 75-311-1126
カンデオホテルズ京都烏丸六角,+81 75-366-2377
龍宮温泉,+81 75-841-8886
しののめ湯（東雲湯）,+81 75-721-8006
泉湯（東山区）,+81 75-561-3147
大黒湯（左京区）,+81 75-722-0268
