サウナ,電話番号
スパメッツァ仙台 竜泉寺の湯,+81 22-374-2683
サウナ＆カプセル キュア国分町,+81 22-713-8526
汗蒸幕のゆ,+81 22-776-7077
MARUMORI-SAUNA,""
愛子天空の湯 そよぎの杜,+81 22-796-1534
仙台湯処 サンピアの湯,+81 22-352-4126
駅前人工温泉 とぽす 仙台駅西口,+81 22-265-2671
天然温泉 仙台コロナの湯,+81 22-786-1426
アクアイグニス仙台 藤塚の湯,+81 22-355-2181
つなかんサウナ,+81 226-32-2264
海神の湯 ドーミーインExpress仙台シーサイド,+81 22-388-5489
ゆ〜とぴあ仙台南,+81 22-205-0051
道の駅 上品の郷（ふたごの湯）,+81 225-62-3670
仙台秋保温泉 ホテル瑞鳳,+81 570-550-397
極楽湯 名取店,+81 22-383-1126
加護坊温泉 さくらの湯,+81 229-39-3388
気仙沼ほっこり湯,+81 226-26-4126
公衆浴場 喜代乃湯,+81 22-256-5749
天然温泉 杜都の湯 御宿 野乃仙台,+81 22-216-5489
極楽湯 富谷店,+81 22-348-3726
