サウナ,電話番号
すきむらんど温泉 かじかの湯,+81 984-25-9500
サウナMIYAZAKI (宮崎第一ホテル),+81 985-41-7540
白鳥温泉 上湯,+81 984-33-1104
こばやし温泉 美人の湯,+81 984-22-3333
スパぱうぱう,+81 985-38-6873
極楽湯 宮崎店,+81 985-61-4126
都城温泉,+81 986-26-5616
極楽温泉 匠の宿,+81 984-42-3326
幸福温泉 Happy You,+81 986-23-2222
kodomonokuni SAUNA PARK,+81 50-3690-9137
風サウナ,+81 70-9034-0571
源泉掛け流し温泉 妻湯,+81 983-32-1108
カプセルルーム＆サウナ マリノーヴァ,+81 985-23-1233
松泉宮,+81 985-21-1133
The earth sauna,''
日向の湯 ドーミーイン宮崎,+81 985-35-5489
お風呂とサウナ ふなの湯,+81 982-27-6220
青島サンクマール,+81 985-55-4390
SAUNA PARKING AEON MALL MIYAZAKI,+81 50-1720-0137
湯之元温泉,+81 984-42-3701
青井岳温泉,+81 986-57-2177
AOSHIMA BEACH VILLAGE,+81 50-8883-9362
高鍋温泉 めいりんの湯,+81 983-23-2626
青島フィッシャーマンズビーチサイドホステル＆スパ,+81 985-77-5525
宮崎リゾート温泉 たまゆらの湯,+81 985-27-1212
Well-Being Sauna（ウェルビーイングサウナ）,''
かかしの里 ゆぽっぽ,+81 986-64-3711
石崎の杜歓鯨館 ホエルカム,+81 985-62-7757
観音さくらの里,+81 986-29-2100
西米良温泉ゆた～と,+81 983-41-4126
日之影温泉駅,+81 982-87-2690
白鳥温泉 下湯,+81 984-33-3611
皇子原温泉健康村,+81 984-42-1221
天然温泉 ひなたの宿 日南宮崎,+81 987-22-5228
南郷温泉 山霧,+81 982-59-0100
和楽笑の湯,+81 986-46-1126
ルートイングランティア あおしま太陽閣,+81 985-65-1531
かどがわ温泉心の杜,+81 982-63-7780
天岩戸の湯,+81 982-74-8288
ANA ホリデイ・イン リゾート 宮崎,+81 985-65-2929
極上の湯 山田温泉,+81 986-64-2020
木城温泉館 湯らら,+81 983-32-2525
しんとみ温泉 サン・ルピナス,+81 983-33-1000
ヘルストピア延岡,+81 982-34-1111
恵の湯 神の郷温泉,+81 984-23-2006
さいと温泉,+81 983-43-1000
串間温泉 いこいの里,+81 987-75-2000
美郷レイクランド,+81 982-68-2222
Oceanside Ranch,+81 70-2434-1173
エコクリーン ほがらか湯,+81 985-30-6228
HOSTEL ALA,+81 983-32-1017
道の駅 ゆ～ぱるのじり,+81 984-44-2210
国民宿舎 ホテル高千穂,+81 982-72-3255
ラスパたかざき,+81 986-62-5526
ホテル日南北郷リゾート,+81 987-55-3333
城下町展望サウナ Nazuna,+81 987-27-3171
合歓木温泉 五十市店,+81 986-22-2030
合歓木温泉 沖水店,+81 986-36-6030
合歓木温泉 広原店,+81 986-24-8950
自然休養村センター 綾川荘,+81 985-77-0070
グリーンリッチホテル宮崎橘通2,+81 985-61-0088
綾川荘 本館,+81 985-77-1227
十兵衛の湯（十兵衛うどん）,+81 984-37-2799
青島グランドホテル,+81 985-65-0111
このはなの湯,+81 985-65-1921
サンチェリー北郷,+81 987-55-3611
宮崎ライオンズホテル,+81 120-746-111
都城サンプラザホテル,+81 986-25-7070
ホテルブリスベンズ,+81 985-32-8888
旬の料理とお湯の宿 常盤荘,+81 986-64-2246
和料理と湯の宿 周山,+81 984-37-0930
スポーツクラブ＆スパ ルネサンス 宮崎24,+81 985-35-2670
