サウナ,電話番号
サウナしきじ+81 54-237-5537
蓮台寺温泉 清流荘,+81 55-822-1361
オアシス御殿場,+81 55-084-6578
駿河健康ランド,+81 54-369-6111
旅館 おちあいろう,+81 55-885-0014
サウナ倶楽部,""
オーシャンスパ Fuua,+81 55-781-0041
富士山天然水SPA サウナ鷹の湯,+81 54-573-1526
木の花の湯,+81 55-081-0330
東静岡 天然温泉 柚木の郷,+81 54-261-1101
天然温泉 柚木の郷,+81 54-261-1101
サウナ天竜,""
用宗みなと温泉,+81 54-256-4126
sauna MYSA,+81 54-297-5337
源泉 茶目湯殿,+81 55-087-6426
泉サウナ,+81 54-330-8805
天然温泉ざぶ～ん,+81 55-968-4126
湯らぎの里,+81 54-563-2641
湯風景しおり,+81 53-478-2626
エキチカ温泉 くろしお,+81 54-627-7200
サウナ寸又峡 -TripTrain-,+81 54-759-3985
島田蓬莱の湯,+81 54-734-4126
駿河の湯 坂口屋,+81 55-926-4126
白のMINKA,+81 53-428-6111
OYUGIWA浜松市野,+81 53-467-5100
おふろcafe bijinyu,+81 54-252-1126
笑福の湯,+81 54-620-4126
沼津・湯河原温泉 万葉の湯,+81 55-927-4126
天然温泉 富士桜の湯 ドーミーインEXPRESS富士山御殿場,+81 55-082-5489
富嶽温泉 花の湯,+81 54-428-1126
赤沢日帰り温泉館,+81 55-753-2617
RAKU SPA Cafe 浜松,+81 53-445-4919
桜湯サウナ（静岡市）,+81 54-252-1241
ゆうだい温泉,+81 55-988-0600
極楽湯 三島店,+81 55-991-4126
かじまちの湯 SPA SOLANI,+81 53-451-3433
健康ゆ空間 磐田ななつぼし,+81 53-833-2617
ビラックス高薗,+81 53-586-8888
リブマックスリゾート熱海Ocean,+81 55-781-1150
レンブラントスタイル御殿場駒門 富士の心湯,+81 55-070-3905
Private sauna .Y,+81 53-582-6399
