サウナ,電話番号
黄金湯,+81 3-3622-5009
サウナ＆カプセルホテル 北欧,+81 3-3845-8000
サウナ＆ホテル かるまる池袋,+81 3-3986-3726
改良湯,+81 3-3400-5782
天空のアジト マルシンスパ,+81 3-3376-5225
松本湯,+81 3-3371-8392
東京ドーム天然温泉 Spa LaQua,+81 3-3817-4173
渋谷SAUNAS,""
サウナ東京（Sauna Tokyo）,+81 3-5544-8478
タイムズ スパ・レスタ,+81 3-5979-8924
堀田湯,+81 3-3852-4126
ひだまりの泉 萩の湯,+81 3-3872-7669
ROOFTOP,""
新宿天然温泉 テルマー湯,+81 3-5285-1726
スパ＆カプセル ニューウィング,+81 3-3846-1311
両国湯屋江戸遊,+81 3-3621-2611
スパジアムジャポン,+81 42-473-2828
豊島園 庭の湯,+81 3-5984-4126
文化浴泉,+81 3-3792-4126
カプセル＆サウナ ロスコ,+81 3-3915-0005
サウナセンター,+81 3-3876-0016
SaunaLab Kanda（サウナラボ神田）,""
天然温泉 湯どんぶり栄湯,+81 3-3875-2885
生姜サウナ 金の亀,+81 3-6426-5671
東京荻窪天然温泉 なごみの湯,+81 3-3398-4126
ゆ家 和ごころ 吉の湯,+81 3-3315-1766
PARADISE（パラダイス）,+81 3-6453-8720
COCOFURO たかの湯,+81 3-3739-2644
巣鴨湯,+81 3-6826-9126
押上温泉 大黒湯,+81 3-3622-6698
ドシー恵比寿,+81 3-3449-5255
金春湯,+81 3-3492-4150
RAKU SPA 1010 神田,+81 3-5207-2683
アクア東中野,+81 3-5330-1126
アダムアンドイブ,+81 3-5474-4455
Smart Stay SHIZUKU 上野駅前,+81 3-6284-4414
妙法湯,+81 3-3957-8433
五色湯,+81 3-3952-7237
寿湯,+81 3-3844-8886
オアシスサウナ アスティル,+81 3-5401-0356
東京染井温泉 SAKURA,+81 3-5907-5566
COCOFURO ますの湯,+81 3-6410-4797
サウナ道場,""
天然温泉 泉天空の湯 有明ガーデン,+81 3-6426-0802
サウナリゾートオリエンタル赤坂,+81 3-6435-5381
サウナ錦糸町（カプセルイン錦糸町）,+81 3-5637-7738
前野原温泉 さやの湯処,+81 3-5916-3826
改栄湯,+81 3-6897-2824
ライオンサウナ新橋,+81 3-6273-3016
えごた湯,+81 3-3385-7800
COCOFURO かが浴場,+81 3-5948-5262
多摩境天然温泉 森乃彩,+81 42-860-1026
おふろの王様 大井町店,+81 3-5709-2603
ソロサウナtune,""
サウナリゾートオリエンタル上野,+81 3-5846-8560
光明泉,+81 3-3463-9793
南青山 清水湯,+81 3-3401-4404
Ledian Spa Ebisu（レディアンスパ恵比寿）,+81 3-6636-8534
ルビーパレス・レディスサウナ,+81 3-5272-0080
SAUAN&co,+81 3-5829-9980
深川温泉 常磐湯,+81 3-3631-9649
MONSTER WORK & SAUNA,""
久松湯,+81 3-3991-5092
寺島浴場,+81 3-3611-6755
SPA&SAUNA コリドーの湯,+81 3-6263-8772
武蔵小山温泉 清水湯,+81 3-3781-0575
天然温泉 平和島,+81 3-3768-9121
Smart Stay SHIZUKU 品川大井町,+81 3-6810-4980
SAUNA RESET Pint,+81 3-3843-1137
天然温泉 楽天地スパ,+81 3-3631-4126
富士見湯,+81 3-3782-6120
東京浴場,+81 3-6421-5739
ガーデンサウナ蒲田（カプセルイン蒲田）,+81 3-3737-1303
SPA:BLIC 赤坂湯屋,+81 3-5561-7544
サウナ＆カプセルホテル レインボー新小岩店,+81 3-3653-5122
大谷田温泉 明神の湯,+81 3-5613-2683
サウナランド浅草,+81 3-5830-7140
狛江湯,+81 3-3489-3881
サウナリウム高円寺,+81 3-5356-8982
天然温泉 泉天空の湯 羽田空港,+81 3-6459-9770
イーストランド,+81 3-3670-0945
やすらぎの湯 ニュー椿,+81 3-3918-1720
西品川温泉 宮城湯,+81 3-3491-4856
戸越銀座温泉,+81 3-3782-7400
竜泉寺の湯 八王子みなみ野店,+81 42-632-2611
SAUNA OOO,""
カプセルイン大塚,+81 3-3940-4681
サウナ・スパ テルマー湯 西麻布,+81 3-6434-5937
恵比寿サウナー,+81 3-3462-1137
湊湯,+81 3-3551-0667
辰巳湯,+81 3-3641-9436
トーセイホテル ココネ築地銀座プレミア,+81 3-3543-5541
駒の湯,+81 3-3421-4513
KUDOCHI sauna,+81 3-6447-2129
ととけん日本橋浜町,+81 3-6667-0308
はすぬま温泉,+81 3-3734-0081
十條湯,+81 3-3900-4600
RED° E-SAUNA UENO,+81 3-5846-8828
中延温泉 松の湯,+81 3-3783-1832
稲城天然温泉 季乃彩（ときのいろどり）,+81 42-370-2614
